transaction_id,customer_id,transaction_hour,account_age_days,previous_chargebacks,merchant_category,transaction_country,device_type,is_international,is_high_risk_merchant,transaction_amount,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount_30d,risk_label
TXN0000083,CUST00034,23,2104.0,0.0,fuel,US,mobile,0,0,202.0,0.0,2.0,364.51,0
TXN0000084,CUST00205,11,700.0,0.0,online_services,US,mobile,0,1,146.13,0.0,4.0,369.75,0
TXN0000085,CUST00080,18,345.0,0.0,travel,US,desktop,0,1,219.89,1.0,2.0,528.29,0
TXN0000086,CUST00931,4,209.0,0.0,fuel,US,desktop,0,0,179.49,0.0,4.0,410.74,0
TXN0000087,CUST00561,16,223.0,0.0,online_services,IN,tablet,1,1,305.16,3.0,6.0,309.3,0
TXN0000088,CUST00871,22,1391.0,0.0,electronics,,desktop,0,0,1402.63,0.0,4.0,793.51,0
TXN0000089,CUST00387,0,749.0,0.0,fashion,UK,desktop,1,0,353.17,2.0,7.0,826.14,0
TXN0000090,CUST00001,23,5.0,0.0,grocery,CA,tablet,1,0,1040.08,0.0,10.0,435.83,0
TXN0000091,CUST00389,22,354.0,0.0,electronics,US,tablet,0,0,385.58,0.0,2.0,344.48,0
TXN0000092,CUST00565,9,126.0,0.0,restaurant,US,desktop,0,0,2476.7,0.0,1.0,693.48,0
TXN0000093,CUST00105,14,554.0,2.0,restaurant,US,desktop,0,0,342.85,2.0,5.0,264.25,0
TXN0000094,CUST00771,22,545.0,1.0,restaurant,IN,desktop,1,0,149.22,3.0,0.0,300.04,1
TXN0000095,CUST00821,20,542.0,0.0,fuel,US,mobile,0,0,304.46,0.0,4.0,441.74,0
TXN0000096,CUST00476,20,589.0,0.0,fuel,UK,mobile,1,0,336.79,1.0,5.0,445.78,0
TXN0000097,CUST00702,10,216.0,0.0,online_services,IN,desktop,1,1,863.48,0.0,3.0,1170.91,0
TXN0000098,CUST00401,12,427.0,0.0,fashion,CA,mobile,1,0,1122.79,1.0,2.0,803.61,0
TXN0000099,CUST00729,4,603.0,0.0,restaurant,UK,desktop,1,0,70.3,3.0,11.0,183.73,1
TXN0000100,CUST00555,0,1260.0,0.0,fuel,IN,desktop,1,0,213.2,3.0,10.0,750.39,1
TXN0000101,CUST00161,23,978.0,0.0,online_services,US,mobile,0,1,273.48,0.0,3.0,264.78,0
TXN0000102,CUST00201,11,2078.0,0.0,fuel,CA,mobile,1,0,97.23,0.0,2.0,188.01,0
TXN0000103,CUST00957,10,636.0,2.0,travel,US,mobile,0,1,686.61,1.0,8.0,457.82,0
TXN0000104,CUST00995,16,337.0,0.0,fuel,US,mobile,0,0,585.63,0.0,1.0,348.26,0
TXN0000105,CUST00269,3,730.0,0.0,restaurant,US,mobile,0,0,620.11,0.0,0.0,247.32,0
TXN0000106,CUST00862,14,209.0,0.0,electronics,US,desktop,0,0,330.17,0.0,2.0,444.43,0
TXN0000107,CUST00815,8,1762.0,0.0,restaurant,US,mobile,0,0,950.34,0.0,3.0,609.98,0
TXN0000108,CUST00270,20,524.0,0.0,online_services,US,mobile,0,1,323.37,0.0,2.0,495.22,0
TXN0000109,CUST00455,19,888.0,0.0,online_services,US,mobile,0,1,680.84,1.0,0.0,606.73,0
TXN0000110,CUST00461,18,496.0,0.0,online_services,US,desktop,0,1,125.12,1.0,0.0,653.1,0
TXN0000111,CUST00726,18,129.0,0.0,travel,CA,mobile,1,1,131.92,1.0,6.0,425.31,0
TXN0000112,CUST00251,11,414.0,0.0,restaurant,US,desktop,0,0,1289.12,0.0,4.0,881.8,0
TXN0000113,CUST00701,4,368.0,0.0,grocery,US,mobile,0,0,165.63,0.0,3.0,208.18,0
TXN0000114,CUST00295,9,70.0,0.0,travel,UK,mobile,1,1,1789.4,4.0,2.0,697.71,0
TXN0000115,CUST00724,16,72.0,0.0,fashion,US,mobile,0,0,160.52,2.0,2.0,465.79,0
TXN0000116,CUST00719,4,871.0,0.0,restaurant,AU,tablet,1,0,334.34,2.0,6.0,144.65,0
TXN0000117,CUST00748,21,205.0,0.0,fuel,AU,mobile,1,0,219.5,1.0,0.0,395.38,0
TXN0000118,CUST00337,15,500.0,0.0,electronics,US,desktop,0,0,433.94,1.0,1.0,296.38,0
TXN0000119,CUST00878,6,419.0,0.0,restaurant,IN,desktop,1,0,432.11,1.0,3.0,443.39,0
TXN0000120,CUST00052,8,369.0,0.0,electronics,UK,desktop,1,0,144.14,0.0,3.0,503.72,0
TXN0000121,CUST00791,2,522.0,0.0,online_services,US,mobile,0,1,445.82,1.0,5.0,383.83,0
TXN0000122,CUST00921,30,979.0,0.0,online_services,UK,desktop,1,1,98.1,2.0,8.0,517.9,0
TXN0000123,CUST00216,15,-489.0,0.0,grocery,UK,tablet,1,0,973.23,0.0,4.0,328.06,0
TXN0000124,CUST00763,17,875.0,0.0,fashion,UK,desktop,1,0,326.16,1.0,2.0,282.51,0
TXN0000125,CUST00187,13,828.0,0.0,fuel,UK,desktop,1,0,21.71,2.0,1.0,490.26,0
TXN0000126,CUST00379,2,640.0,0.0,travel,US,mobile,0,1,85.9,5.0,10.0,298.57,1
TXN0000127,CUST00492,11,562.0,1.0,travel,IN,mobile,1,1,1225.99,1.0,3.0,585.27,0
TXN0000128,CUST00040,8,84.0,1.0,fashion,AU,desktop,1,0,1458.84,5.0,7.0,433.14,1
TXN0000129,CUST00156,6,301.0,0.0,grocery,UK,mobile,1,0,179.01,0.0,6.0,321.54,0
TXN0000130,CUST00014,8,1143.0,0.0,grocery,US,desktop,0,0,277.44,0.0,1.0,685.9,0
TXN0000131,CUST00812,12,333.0,1.0,online_services,US,tablet,0,1,1839.4,4.0,9.0,-771.76,1
TXN0000132,CUST00064,17,451.0,0.0,restaurant,UK,desktop,1,0,698.48,0.0,0.0,744.11,0
TXN0000133,CUST00856,4,427.0,0.0,grocery,AU,tablet,1,0,505.87,1.0,8.0,475.5,0
TXN0000134,CUST00838,12,304.0,0.0,restaurant,IN,mobile,1,0,156.29,0.0,0.0,354.44,0
TXN0000135,CUST00520,3,501.0,1.0,electronics,AU,desktop,1,0,2153.59,1.0,6.0,704.33,0
TXN0000136,CUST00343,1,435.0,1.0,fashion,US,mobile,0,0,92.26,2.0,7.0,386.31,0
TXN0000137,CUST00128,15,352.0,0.0,electronics,AU,mobile,1,0,195.62,0.0,2.0,258.3,0
TXN0000138,CUST00647,8,203.0,0.0,electronics,US,desktop,0,0,401.83,0.0,0.0,464.56,0
TXN0000139,CUST00471,8,181.0,0.0,electronics,US,mobile,0,0,93.24,0.0,1.0,238.44,0
TXN0000140,CUST00062,5,797.0,0.0,electronics,US,tablet,0,0,255.69,1.0,3.0,309.19,0
TXN0000141,CUST00138,10,16.0,0.0,travel,AU,mobile,1,1,1228.14,0.0,7.0,601.07,0
TXN0000142,CUST00498,21,504.0,0.0,grocery,AU,tablet,1,0,131.55,1.0,1.0,961.73,0
TXN0000143,CUST00592,23,970.0,0.0,fashion,US,mobile,0,0,284.96,0.0,3.0,290.99,0
TXN0000144,CUST00391,21,556.0,2.0,fashion,US,desktop,0,0,176.45,1.0,6.0,340.31,0
TXN0000145,CUST00674,0,406.0,0.0,fuel,IN,desktop,1,0,547.03,1.0,8.0,394.15,0
TXN0000146,CUST00418,3,225.0,0.0,electronics,US,desktop,0,0,374.9,0.0,,224.13,0
TXN0000147,CUST00288,12,473.0,0.0,fashion,US,mobile,0,0,441.86,0.0,2.0,305.94,0
TXN0000148,CUST00378,22,1013.0,1.0,online_services,US,desktop,0,1,596.95,2.0,7.0,886.46,0
TXN0000149,CUST00772,12,945.0,0.0,restaurant,UK,mobile,1,0,64.54,0.0,2.0,338.31,0
TXN0000150,CUST00489,12,468.0,0.0,fashion,IN,desktop,1,0,220.04,0.0,2.0,561.76,0
TXN0000151,CUST00230,1,835.0,1.0,online_services,US,mobile,0,1,2513.85,2.0,7.0,722.46,1
TXN0000152,CUST00040,8,397.0,0.0,electronics,US,mobile,0,0,551.75,1.0,2.0,492.48,0
TXN0000153,CUST00027,23,310.0,1.0,fashion,US,mobile,0,0,2817.06,1.0,8.0,663.87,1
TXN0000154,CUST00134,7,759.0,1.0,grocery,US,mobile,0,0,790.52,3.0,7.0,992.38,0
TXN0000155,CUST00200,6,1194.0,1.0,electronics,US,tablet,0,0,323.98,2.0,4.0,388.56,0
TXN0000156,CUST00839,3,1252.0,0.0,travel,AU,mobile,1,1,1457.72,2.0,9.0,540.16,0
TXN0000157,CUST00779,17,577.0,1.0,online_services,UK,desktop,1,1,727.76,1.0,7.0,709.18,1
TXN0000158,CUST00929,2,203.0,0.0,grocery,IN,mobile,1,0,156.59,1.0,7.0,308.23,0
TXN0000159,CUST00032,5,48.0,0.0,fashion,,tablet,1,0,61.08,5.0,5.0,120.45,0
TXN0000160,CUST00047,11,238.0,0.0,travel,US,mobile,0,1,319.71,0.0,4.0,934.07,0
TXN0000161,CUST00502,11,529.0,0.0,fuel,US,mobile,0,0,517.82,0.0,1.0,316.5,0
TXN0000162,CUST00406,20,1003.0,0.0,grocery,UK,desktop,1,0,96.37,1.0,1.0,409.11,0
TXN0000163,CUST00573,7,163.0,,fuel,US,desktop,0,0,805.42,0.0,0.0,563.45,0
TXN0000164,CUST00727,21,519.0,0.0,restaurant,UK,mobile,1,0,298.79,0.0,4.0,853.27,0
TXN0000165,CUST00804,21,436.0,0.0,grocery,US,mobile,0,0,267.27,0.0,1.0,437.29,0
TXN0000166,CUST00098,0,383.0,0.0,travel,UK,mobile,1,1,320.33,0.0,10.0,561.58,0
TXN0000167,CUST00683,3,502.0,0.0,fuel,US,,0,0,373.16,0.0,1.0,303.07,0
TXN0000168,CUST00871,20,1541.0,0.0,restaurant,US,desktop,0,0,97.3,0.0,0.0,775.63,0
TXN0000169,CUST00725,10,454.0,0.0,fuel,UK,mobile,1,0,113.98,1.0,4.0,393.49,0
TXN0000170,CUST00986,2,614.0,0.0,fashion,US,mobile,0,0,64.2,0.0,1.0,372.4,0
TXN0000171,CUST00546,12,139.0,0.0,electronics,US,mobile,0,0,2122.44,1.0,3.0,379.81,0
TXN0000172,CUST00960,16,1087.0,0.0,fuel,UK,mobile,1,0,235.44,1.0,3.0,341.24,0
TXN0000173,CUST00738,21,1008.0,3.0,fashion,US,desktop,0,0,370.08,1.0,13.0,710.18,0
TXN0000174,CUST00612,21,102.0,0.0,electronics,AU,desktop,1,0,236.64,0.0,3.0,422.21,0
TXN0000175,CUST00942,9,54.0,0.0,electronics,US,mobile,0,0,163.76,0.0,4.0,519.25,0
TXN0000176,CUST00461,20,868.0,0.0,travel,UK,mobile,1,1,212.02,3.0,6.0,563.31,0
TXN0000177,CUST00642,11,664.0,0.0,online_services,US,mobile,0,1,329.47,1.0,2.0,649.8,0
TXN0000178,CUST00768,14,122.0,0.0,restaurant,US,tablet,0,0,176.79,1.0,2.0,613.8,0
TXN0000179,CUST00004,20,272.0,0.0,online_services,US,mobile,0,1,270.21,1.0,2.0,424.77,0
TXN0000180,CUST00217,9,417.0,0.0,restaurant,UK,mobile,1,0,1581.87,1.0,4.0,410.32,0
TXN0000181,CUST00502,13,204.0,0.0,grocery,US,mobile,0,0,56.45,0.0,1.0,392.27,0
TXN0000182,CUST00766,12,268.0,0.0,fashion,US,tablet,0,0,98.43,2.0,2.0,210.32,0
TXN0000183,CUST00397,4,628.0,0.0,travel,UK,desktop,1,1,1307.12,4.0,8.0,336.93,1
TXN0000184,CUST00870,5,716.0,0.0,fuel,US,mobile,0,0,731.24,1.0,2.0,599.28,0
TXN0000185,CUST00794,23,701.0,0.0,fashion,UK,mobile,1,0,2680.57,2.0,1.0,1000.38,0
TXN0000186,CUST00392,1,945.0,0.0,fuel,CA,desktop,1,0,340.91,4.0,5.0,345.83,0
TXN0000187,CUST00206,21,397.0,1.0,online_services,US,mobile,0,1,336.99,3.0,7.0,409.48,1
TXN0000188,CUST00014,16,1329.0,1.0,fuel,US,mobile,0,0,2150.87,1.0,11.0,553.03,0
TXN0000189,CUST00857,3,414.0,0.0,online_services,US,tablet,0,1,270.34,1.0,7.0,255.3,0
TXN0000190,CUST00553,13,733.0,0.0,online_services,UK,tablet,1,1,262.11,4.0,14.0,602.29,1
TXN0000191,CUST00891,9,537.0,0.0,fuel,US,tablet,0,0,51.71,0.0,5.0,428.17,0
TXN0000192,CUST00460,2,934.0,2.0,grocery,US,mobile,0,0,2108.72,2.0,2.0,828.92,0
TXN0000193,CUST00690,2,731.0,0.0,online_services,US,mobile,0,1,117.1,2.0,3.0,180.02,0
TXN0000194,CUST00574,14,1115.0,0.0,grocery,US,mobile,0,0,385.11,1.0,0.0,584.93,0
TXN0000195,CUST00863,5,584.0,0.0,travel,US,desktop,0,1,258.22,0.0,2.0,993.64,0
TXN0000196,CUST00742,16,845.0,0.0,grocery,US,desktop,0,0,287.03,0.0,1.0,963.91,0
TXN0000197,CUST00240,11,622.0,0.0,travel,US,desktop,0,1,255.06,2.0,1.0,246.34,0
TXN0000198,CUST00563,21,1748.0,0.0,grocery,US,tablet,0,0,133.85,1.0,0.0,365.28,0
TXN0000199,CUST00095,19,1023.0,0.0,restaurant,US,desktop,0,0,124.86,0.0,1.0,453.37,0
TXN0000200,CUST00899,23,1236.0,0.0,travel,US,mobile,0,1,522.27,0.0,2.0,694.07,0
TXN0000201,CUST00733,10,606.0,0.0,restaurant,US,mobile,0,0,241.62,,2.0,308.4,0
TXN0000202,CUST00484,3,502.0,0.0,online_services,US,mobile,0,1,144.91,4.0,5.0,619.86,0
TXN0000203,CUST00406,5,1644.0,0.0,restaurant,CA,mobile,1,0,162.41,0.0,2.0,435.75,0
TXN0000204,CUST00230,0,220.0,1.0,travel,US,mobile,0,1,1424.52,1.0,13.0,747.51,1
TXN0000205,CUST00748,19,435.0,0.0,fashion,UK,desktop,1,0,142.24,1.0,3.0,478.08,0
TXN0000206,CUST00654,22,181.0,0.0,online_services,US,mobile,0,1,877.17,0.0,3.0,761.42,0
TXN0000207,CUST00170,15,886.0,0.0,online_services,UK,desktop,1,1,216.05,0.0,7.0,336.98,0
TXN0000208,CUST00540,14,459.0,0.0,electronics,US,desktop,0,0,185.0,0.0,2.0,229.67,0
TXN0000209,CUST00035,16,661.0,0.0,grocery,AU,mobile,1,0,401.13,0.0,4.0,329.29,0
TXN0000210,CUST00524,7,1221.0,0.0,fuel,CA,mobile,1,0,194.94,1.0,3.0,359.27,0
TXN0000211,CUST00159,11,351.0,0.0,grocery,US,mobile,0,0,332.08,0.0,1.0,407.84,0
TXN0000212,CUST00838,21,509.0,1.0,fuel,US,mobile,0,0,633.34,2.0,8.0,472.34,0
TXN0000213,CUST00698,20,253.0,0.0,fashion,UK,mobile,1,0,61.02,1.0,1.0,244.92,0
TXN0000214,CUST00242,9,807.0,0.0,electronics,AU,desktop,1,0,104.19,1.0,3.0,390.97,0
TXN0000215,CUST00085,14,368.0,0.0,fashion,US,desktop,0,0,309.28,1.0,2.0,550.17,0
TXN0000216,CUST00795,8,263.0,0.0,electronics,US,mobile,0,0,170.58,1.0,1.0,219.41,0
TXN0000217,CUST00577,1,893.0,0.0,travel,US,mobile,0,1,1270.3,6.0,9.0,566.36,1
TXN0000218,CUST00681,4,798.0,0.0,travel,US,desktop,0,1,130.39,2.0,7.0,189.0,0
TXN0000219,CUST00556,5,363.0,0.0,fuel,US,mobile,0,0,85.85,0.0,0.0,686.26,0
TXN0000220,CUST00573,6,233.0,0.0,restaurant,US,mobile,0,0,252.58,1.0,3.0,610.19,0
TXN0000221,CUST00952,20,270.0,3.0,restaurant,US,desktop,0,0,998.97,3.0,9.0,490.06,1
TXN0000222,CUST00645,0,1312.0,0.0,fuel,US,mobile,0,0,496.13,1.0,3.0,223.25,0
TXN0000223,CUST00795,22,756.0,0.0,travel,UK,desktop,1,1,32.98,1.0,8.0,246.6,0
TXN0000224,CUST00027,6,256.0,0.0,fuel,UK,mobile,1,0,817.29,1.0,5.0,766.62,0
TXN0000225,CUST00619,19,578.0,0.0,restaurant,US,mobile,0,0,85.88,0.0,2.0,643.06,0
TXN0000226,CUST00555,11,279.0,1.0,fuel,AU,mobile,1,0,2482.63,2.0,2.0,693.81,0
TXN0000227,CUST00339,15,1015.0,0.0,travel,US,desktop,0,1,1171.46,0.0,0.0,521.87,0
TXN0000228,CUST00797,15,998.0,1.0,fashion,US,desktop,0,0,1491.79,2.0,6.0,472.83,0
TXN0000229,CUST00957,10,361.0,0.0,grocery,UK,mobile,1,0,97.77,0.0,2.0,496.2,0
TXN0000230,CUST00330,20,380.0,1.0,travel,UK,tablet,1,1,536.52,1.0,7.0,393.65,0
TXN0000231,CUST00639,3,88.0,0.0,fuel,AU,mobile,1,0,891.5,0.0,4.0,533.79,0
TXN0000232,CUST00505,12,314.0,1.0,travel,US,mobile,0,1,540.73,2.0,8.0,415.91,1
TXN0000233,CUST00347,6,2262.0,0.0,travel,US,mobile,0,1,105.7,0.0,2.0,616.93,0
TXN0000234,CUST00472,3,492.0,0.0,restaurant,UK,mobile,1,0,265.04,0.0,7.0,303.4,0
TXN0000235,CUST00230,14,844.0,0.0,fuel,US,mobile,0,0,161.84,0.0,3.0,644.31,0
TXN0000236,CUST00189,18,189.0,0.0,restaurant,US,mobile,0,0,396.06,0.0,2.0,461.42,0
TXN0000237,CUST00224,8,1653.0,0.0,fuel,US,tablet,0,0,104.65,0.0,3.0,416.18,0
TXN0000238,CUST00384,10,454.0,0.0,restaurant,US,desktop,0,0,52.07,0.0,4.0,445.23,0
TXN0000239,CUST00376,7,229.0,1.0,restaurant,US,desktop,0,0,396.02,0.0,8.0,758.95,0
TXN0000240,CUST00282,0,834.0,0.0,fashion,US,mobile,0,0,62.53,1.0,0.0,503.93,0
TXN0000241,CUST00957,22,1791.0,0.0,travel,US,desktop,0,1,148.02,0.0,3.0,510.94,0
TXN0000242,CUST00632,23,794.0,1.0,fashion,US,mobile,0,0,1379.99,0.0,11.0,440.21,0
TXN0000243,CUST00627,7,1435.0,0.0,restaurant,US,desktop,0,0,178.55,1.0,1.0,610.24,0
TXN0000244,CUST00972,12,609.0,0.0,fashion,US,tablet,0,0,239.99,0.0,1.0,437.27,0
TXN0000245,CUST00744,21,172.0,2.0,online_services,AU,desktop,1,1,267.47,6.0,7.0,179.58,1
TXN0000246,CUST00258,3,85.0,0.0,online_services,US,mobile,0,1,862.33,2.0,9.0,653.18,0
TXN0000247,CUST00358,7,479.0,0.0,travel,AU,mobile,1,1,113.88,1.0,9.0,241.75,0
